Count,Name,Position X,Position Y,Position Z,Rotation,#,#(1),#(2),CSV_CLEANED
1,TUB-flat-2,"212'-3 11/16""","-17'-1 5/8""","0'-0""",0.00,,,,true
1,TV TRUSS,"-1426'-1 7/8""","114'-2 7/16""","0'-0""",270.00,,,,true
1,TV TRUSS,"-1426'-1 7/8""","124'-2 7/16""","0'-0""",270.00,,,,true
1,TV TRUSS,"-1426'-1 7/8""","134'-2 7/16""","0'-0""",270.00,,,,true
1,TV TRUSS,"-1426'-1 7/8""","144'-2 7/16""","0'-0""",270.00,,,,true
1,65tv,"-1330'-0 13/16""","148'-3 1/4""","0'-0""",270.00,,,,true
1,Ascent (ALB5X-PF-4PL),"-1414'-3 5/16""","142'-6 7/8""","0'-0""",90.00,,,,true
1,Ascent (ALB5X-PF-4PL),"-1414'-3 5/16""","139'-6 7/8""","0'-0""",90.00,,,,true
1,TV TRUSS,"-1426'-1 7/8""","104'-2 7/16""","0'-0""",270.00,,,,true
1,Bike Rec. (R5X-5PL-PF),"-1425'-8 1/2""","106'-5 5/16""","0'-0""",90.00,,,,true
1,Bike Rec. (R5X-5PL-PF),"-1425'-8 1/2""","113'-3 5/16""","0'-0""",90.00,,,,true
1,Floor Mat Rack (ST-Mat-Rack),"-1330'-7 15/16""","141'-10 9/16""","0'-0""",270.00,,,,true
1,Stretching Area,"-1332'-9 3/16""","148'-5 3/8""","0'-0""",270.00,,,,true
1,dynamic_lockers,"-1378'-1 9/16""","122'-2 1/16""","0'-0""",270.00,,,,true
1,ADA Door,"-1362'-8 5/16""","116'-11 1/16""","0'-0""",0.00,,,,true
1,Swing-90,"-1365'-9 1/16""","116'-8 1/16""","0'-0""",0.00,,,,true
1,it,"-1341'-2 1/16""","73'-8 1/4""","0'-0""",0.00,,,,true
1,Bike Rec. (R5X-5PL-PF),"-1425'-8 1/2""","109'-10 5/16""","0'-0""",90.00,,,,true
1,FAN 1,"-1413'-1 13/16""","135'-3 15/16""","0'-0""",0.00,,,,true
1,TV TRUSS,"-1426'-1 7/8""","94'-2 7/16""","0'-0""",270.00,,,,true
1,EX'G WALL TOILET,"-1339'-7 15/16""","124'-2 1/16""","0'-0""",270.00,,,,true
1,Swing-90,"-1348'-1 5/16""","84'-5 7/8""","0'-0""",0.00,,,,true
1,Sink-Bradley_Corp-Express-TLX1-Faucet-Soap - Express TLX-1 Faucet-Soap-799460-PLAN,"-1341'-1 15/16""","82'-5 13/16""","0'-0""",270.00,,,,true
1,EX'G WALL TOILET,"-1339'-7 15/16""","76'-11 7/8""","0'-0""",270.00,,,,true
1,EX'G ADA,"-1342'-3 5/16""","77'-3 13/16""","0'-0""",270.00,,,,true
1,ADA Door,"-1357'-2 5/16""","116'-11 1/16""","0'-0""",0.00,,,,true
1,Swing-90,"-1360'-3 1/16""","116'-8 1/16""","0'-0""",0.00,,,,true
1,ADA Door,"-1333'-3 1/16""","116'-11 1/16""","0'-0""",0.00,,,,true
1,EX'G ADA,"-1342'-3 5/16""","123'-10 1/8""","0'-0""",270.00,,,,true
1,Swing-90,"-1330'-2 5/16""","116'-8 1/16""","0'-0""",180.00,,,,true
1,EX'G WALL TOILET,"-1338'-1 5/8""","124'-2 1/16""","0'-0""",90.00,,,,true
1,ADA CBENCH,"-1349'-11 5/16""","123'-8 1/16""","0'-0""",0.00,,,,true
1,ADA Door,"-1351'-8 5/16""","116'-11 1/16""","0'-0""",0.00,,,,true
1,Swing-90,"-1354'-9 1/16""","116'-8 1/16""","0'-0""",0.00,,,,true
1,ADA Door,"-1345'-0 9/16""","116'-11 1/16""","0'-0""",0.00,,,,true
1,Swing-90,"-1348'-1 5/16""","116'-8 1/16""","0'-0""",0.00,,,,true
1,Sink-Bradley_Corp-Express-TLX1-Faucet-Soap - Express TLX-1 Faucet-Soap-799460-PLAN,"-1341'-1 15/16""","118'-8 1/8""","0'-0""",270.00,,,,true
1,Sink-Bradley_Corp-Express-TLX1-Faucet-Soap - Express TLX-1 Faucet-Soap-799460-PLAN,"-1336'-7 5/8""","118'-8 1/8""","0'-0""",90.00,,,,true
1,ADA Door,"-1345'-0 9/16""","84'-2 7/8""","0'-0""",180.00,,,,true
1,SPEAKER,"-1447'-1 13/16""","153'-3 15/16""","0'-0""",0.00,,,,true
1,F6-1,"-1461'-1 5/16""","111'-10 3/8""","0'-0""",90.00,,,,true
1,Room Name 106A STORAGE,"-1368'-2 5/16""","191'-6 11/16""","0'-0""",0.00,106A,STORAGE,,true
1,Room Name 104B ROOM ADA CHANGING,"-1351'-11 1/8""","78'-10 9/16""","0'-0""",0.00,104B,ROOM,ADA CHANGING,true
1,Room Name 104D ROOM TOILET,"-1334'-2 1/16""","79'-3 11/16""","0'-0""",0.00,104D,ROOM,TOILET,true
1,Room Name 104E SHOWER TOILET/,"-1334'-2 1/16""","96'-8 1/16""","0'-0""",0.00,104E,SHOWER,TOILET/,true
1,Room Name 104F SHOWER RROM ADA TOILET/,"-1345'-0 3/16""","93'-6 5/8""","0'-0""",0.00,104F,SHOWER RROM,ADA TOILET/,true
1,Room Name 104G SHOWER RROM ADA TOILET/,"-1355'-10 1/2""","93'-6 5/8""","0'-0""",0.00,104G,SHOWER RROM,ADA TOILET/,true
1,Room Name 104H SHOWER TOILET/,"-1365'-3 13/16""","96'-8 1/16""","0'-0""",0.00,104H,SHOWER,TOILET/,true
1,Room Name 101B OFFICE,"-1355'-11 9/16""","73'-8 13/16""","0'-0""",0.00,101B,OFFICE,,true
1,Room Name 105 MEN'S CORRIDOR,"-1349'-8 9/16""","113'-9 1/4""","0'-0""",0.00,105,MEN'S CORRIDOR,,true
1,Room Name 105G SHOWER RROM ADA TOILET/,"-1345'-0 3/16""","106'-11 3/16""","0'-0""",0.00,105G,SHOWER RROM,ADA TOILET/,true
1,Room Name 105H SHOWER RROM ADA TOILET/,"-1355'-10 1/2""","106'-11 3/16""","0'-0""",0.00,105H,SHOWER RROM,ADA TOILET/,true
